customer_feedback,tenure,MonthlyCharges,Churn
Frequent billing issues make the service frustrating.,1,45.85,1
I appreciate the flexible contract options.,6,80.8,0
Partnered plan has been cost-effective and reliable.,22,25.25,0
Tenure discounts made staying with this provider easy.,31,80.55,0
Online security features meet my needs well.,39,81.5,0
Online security features meet my needs well.,26,20.9,0
Online security seems inadequate compared to others.,53,106.1,1
Monthly charges have unexpected increases frequently.,1,91.7,1
The partner-friendly plans fit our budget well.,12,67.25,0
Contract renewal terms lack flexibility.,16,95.6,1
Enjoying affordable rates and stable monthly charges.,2,20.35,0
Tech support has been quick and effective every time.,39,45.05,0
Billing statements are often unclear or incorrect.,1,74.95,1
The tech support team is quick and professional.,7,34.65,0
The support team made the setup process smooth.,4,69.35,0
Contract terms feel rigid and hard to adjust.,10,95.35,1
Happy with the consistent service over the years.,55,81.55,0
Flexible contracts that fit my lifestyle.,72,75.4,0
Happy with the consistent service over the years.,10,67.8,0
The partner-friendly plans fit our budget well.,11,111.4,0
Flexible contracts that fit my lifestyle.,15,46.3,0
Partner and dependents also satisfied with the plan.,23,20.4,0
The support team made the setup process smooth.,1,20.05,0
Monthly billing errors are a common occurrence.,3,45.0,1
The tech support team is quick and professional.,47,96.1,0
The partner-friendly plans fit our budget well.,15,19.65,0
Monthly charges feel high for the service provided.,66,99.5,1
Tech support was very helpful when I needed assistance.,68,60.65,0
Monthly charges feel high for the service provided.,17,98.6,1
Frequent contract changes without notice.,7,59.5,1
Billing statements are often unclear or incorrect.,12,80.45,1
Dependents find the network reliable and fast.,21,71.7,0
Flexible contract terms suit my needs perfectly.,21,36.0,0
Online security features have given me peace of mind.,56,65.2,0
Online security features meet my needs well.,6,48.95,0
Satisfied with the support offered by tech specialists.,65,53.5,0
Billing is seamless with paperless billing.,42,80.45,0
Good monthly rates and easy-to-understand billing.,68,109.05,0
Great service with no interruptions during my tenure.,48,26.3,0
Dependents also use the service with no issues.,50,106.8,0
Dependents also use the service with no issues.,7,64.95,0
Dependents also use the service with no issues.,63,19.35,0
Online security features keep my data safe.,17,21.1,0
Online security seems inadequate compared to others.,42,77.95,1
Enjoying affordable rates and stable monthly charges.,4,18.85,0
Flexible contracts that fit my lifestyle.,62,26.0,0
Monthly charges are inconsistent and unpredictable.,2,74.7,1
Partner and dependents also satisfied with the plan.,2,70.35,0
The partner-friendly plans fit our budget well.,48,96.9,0
Online security features meet my needs well.,27,19.55,0
Dependents also use the service with no issues.,70,80.4,0
Issues with online security features persisting.,1,88.8,1
I appreciate the flexible contract options.,46,94.65,0
The billing system is often confusing and inaccurate.,30,90.25,1
Monthly charges feel high for the service provided.,15,64.65,1
I appreciate the flexible contract options.,69,95.75,0
Monthly charges are reasonable for the service.,65,19.55,0
Flexible contracts that fit my lifestyle.,72,104.1,0
Contract terms feel rigid and hard to adjust.,13,89.05,1
Online security features meet my needs well.,17,20.1,0
Clear billing process with no surprise charges.,51,111.55,0
"Helpful tech support, available when needed.",51,60.5,0
Clear billing process with no surprise charges.,72,90.95,0
Dependents complain of frequent disconnections.,67,87.4,1
Online security features meet my needs well.,34,19.7,0
Enjoying affordable rates and stable monthly charges.,67,50.95,0
The tech support team is quick and professional.,49,20.05,0
Billing is seamless with paperless billing.,53,19.4,0
Paperless billing is convenient and eco-friendly.,27,59.45,0
Monthly charges are inconsistent and unpredictable.,23,94.75,1
Partner and dependents also satisfied with the plan.,69,81.5,0
Partner and dependents also satisfied with the plan.,2,29.05,0
Monthly charges are inconsistent and unpredictable.,35,86.45,1
Dependents also use the service with no issues.,46,70.6,0
Online security features meet my needs well.,54,97.2,0
Dependents complain of frequent disconnections.,56,98.25,1
Contract renewal terms lack flexibility.,9,75.75,1
Online security features meet my needs well.,20,59.2,0
Good monthly rates and easy-to-understand billing.,11,75.9,0
Online security is a great added feature.,30,90.05,0
Paperless billing is convenient and eco-friendly.,68,70.95,0
Great service with no interruptions during my tenure.,38,102.6,0
Frequent network issues during peak usage.,17,85.35,1
Frequent contract changes without notice.,48,106.1,1
Online security features meet my needs well.,1,43.8,0
Great experience with minimal downtime.,63,59.0,0
Billing is seamless with paperless billing.,3,69.95,0
Billing is seamless with paperless billing.,48,24.35,0
Flexible contracts that fit my lifestyle.,66,29.45,0
Partner and dependents also satisfied with the plan.,68,84.4,0
Dependents face frequent network drops.,17,45.05,1
"Helpful tech support, available when needed.",7,20.65,0
"Helpful tech support, available when needed.",72,87.1,0
Satisfied with the support offered by tech specialists.,29,19.85,0
Enjoying good service quality over the years.,37,90.35,0
Frequent network issues during peak usage.,34,109.8,1
Billing statements are often unclear or incorrect.,42,84.65,1
Partnered plan has been cost-effective and reliable.,59,65.5,0
Tech support response times are too slow.,11,79.5,1
Reliable monthly charges and no unexpected fees.,60,80.95,0
Partnered plan has been cost-effective and reliable.,27,56.15,0
Contract terms feel rigid and hard to adjust.,1,85.8,1
Partnered plan lacks sufficient network stability.,1,79.1,1
Dependents also use the service with no issues.,17,34.4,0
Enjoying affordable rates and stable monthly charges.,58,20.75,0
Stable and affordable service throughout my tenure.,1,18.8,0
Contract terms do not accommodate long-term customers.,3,44.3,1
Dependents also use the service with no issues.,53,90.8,0
Tech support was very helpful when I needed assistance.,35,25.6,0
Online security seems inadequate compared to others.,50,105.95,1
Tenure discounts made staying with this provider easy.,68,70.8,0
Online security features have given me peace of mind.,47,25.4,0
Online security features meet my needs well.,65,108.8,0
Partner and dependents also dissatisfied with service.,5,69.75,1
The online security features feel minimal.,51,94.65,1
Technical support often leaves issues unresolved.,46,96.05,1
Tech support has been quick and effective every time.,9,76.85,0
Partnered plan has been cost-effective and reliable.,8,20.25,0
Flexible contracts that fit my lifestyle.,14,24.8,0
Enjoying affordable rates and stable monthly charges.,45,115.65,0
Tech support has been quick and effective every time.,8,74.6,0
Monthly charges feel high for the service provided.,1,50.15,1
Paperless billing is convenient and eco-friendly.,66,103.15,0
Tenure discounts make the service worth it.,72,72.1,0
High charges without any added benefits.,41,113.6,1
Great service with no interruptions during my tenure.,23,25.1,0
Tech support response times are too slow.,29,78.9,1
Tech support was very helpful when I needed assistance.,4,80.15,0
Online security features meet my needs well.,6,25.4,0
Tenure discounts make the service worth it.,67,105.4,0
Great service with no interruptions during my tenure.,7,45.75,0
Easy setup and reliable network with no drops.,56,24.45,0
Enjoying affordable rates and stable monthly charges.,72,25.0,0
Easy setup and reliable network with no drops.,72,85.25,0
Online security features keep my data safe.,23,19.6,0
Happy with the consistent service over the years.,35,50.15,0
Tech support was very helpful when I needed assistance.,27,70.55,0
Technical support often leaves issues unresolved.,26,60.05,1
Flexible contract terms suit my needs perfectly.,12,26.4,0
"Helpful tech support, available when needed.",40,20.15,0
Monthly charges are reasonable for the service.,7,58.85,0
Tech support has been quick and effective every time.,70,97.55,0
Flexible contract terms suit my needs perfectly.,60,19.65,0
I appreciate the flexible contract options.,39,25.25,0
The partner-friendly plans fit our budget well.,72,114.45,0
Monthly charges have unexpected increases frequently.,1,34.7,1
"Helpful tech support, available when needed.",54,70.7,0
High charges without any added benefits.,3,85.3,1
Flexible contract terms suit my needs perfectly.,63,75.55,0
The partner-friendly plans fit our budget well.,71,84.8,0
Dependents find the network reliable and fast.,42,20.65,0
Enjoying good service quality over the years.,47,20.45,0
Tech support is not helpful during peak times.,66,102.45,1
Contract terms do not accommodate long-term customers.,21,104.4,1
Flexible contract terms suit my needs perfectly.,11,35.65,0
Partnered plan lacks sufficient network stability.,1,99.75,1
"Helpful tech support, available when needed.",55,90.45,0
The partner-friendly plans fit our budget well.,69,97.65,0
Billing is seamless with paperless billing.,3,73.85,0
Frequent network issues during peak usage.,4,74.4,1
Reliable monthly charges and no unexpected fees.,30,69.1,0
Dependents also use the service with no issues.,5,82.75,0
Partner and dependents also satisfied with the plan.,71,24.4,0
Great service with no interruptions during my tenure.,29,55.25,0
Partnered plan has been cost-effective and reliable.,52,61.35,0
"Helpful tech support, available when needed.",68,76.75,0
Online security features meet my needs well.,46,19.4,0
Flexible contracts that fit my lifestyle.,8,54.75,0
Great experience with minimal downtime.,72,19.7,0
Flexible contracts that fit my lifestyle.,17,19.9,0
Reliable monthly charges and no unexpected fees.,3,107.95,0
Tenure discounts make the service worth it.,2,83.8,0
Tech support response times are too slow.,9,74.25,1
Happy with the consistent service over the years.,51,56.4,0
